"","Time","Month","Year","predicted_RECO","Daily_NEE","Daily_RECO_temp","Daily_RECO_flux","Daily_resi_temp","Daily_EF","Total_Randunc","Daily_P"
"1",2014-06-11,6,2014,NA,3.46248333333333,3.5983265624126,3.53658555555556,-0.13584322907927,0.522709044882426,0.2131625887455,0
"2",2014-06-12,6,2014,NA,3.74112461538462,3.54370859074692,3.26970769230769,0.197416024637693,0.702157681213251,0.199832077512497,0
"3",2014-06-16,6,2014,NA,1.8473955,2.63583347695375,2.30976,-0.788437976953753,0.613446254139398,0.21744676984006,0.0309166666666667
"4",2014-06-17,6,2014,NA,1.8391928,2.4769475581835,2.318164,-0.637754758183495,0.393404089769248,0.218201170205153,0.0215
"5",2014-06-24,6,2014,NA,3.36246666666667,4.21608294069355,3.80293333333333,-0.85361627402688,0.628538265435956,0.240440070672425,0
"6",2014-06-25,6,2014,NA,2.0265376,3.72167721020376,3.623302,-1.69513961020376,0.631813341959357,0.220712778112381,0.0240416666666667
"7",2014-06-26,6,2014,NA,4.29472435714286,3.68909054529962,3.65399142857143,0.605633811843239,0.70464062770763,0.262635126288385,0.164875
"8",2014-06-29,6,2014,NA,2.3987907,3.21754808935844,3.016126,-0.818757389358443,0.551500838938304,0.272039393014674,0
"9",2014-07-06,7,2014,NA,3.667492,3.34796787698061,3.4192,0.319524123019387,0.631808594703275,0.214315666588389,0
"10",2014-07-11,7,2014,3.50267670138008,3.3236075,2.39378885524444,2.3772,0.929818644755561,0.667836301258284,0.196430117220565,0.033
"11",2014-07-13,7,2014,NA,2.60152,2.18351610585882,2.25979,0.418003894141185,0.546946865473047,0.186784996844058,0
"12",2014-07-14,7,2014,NA,1.84443611111111,1.94486021011332,2.03727777777778,-0.100424099002211,0.594064199340322,0.179911906474572,0
"13",2014-07-15,7,2014,NA,2.14703307692308,1.91392699714476,2.03512615384615,0.233106079778313,0.453558181495338,0.172822845045413,0
"14",2014-07-20,7,2014,NA,2.25292692307692,2.01630150087897,2.24699461538462,0.236625422197956,0.520129203927827,0.162919188332935,0.0432291666666667
"15",2014-07-21,7,2014,NA,2.59196083333333,2.06047652492064,2.22324,0.531484308412694,0.529115868025133,0.164012745633491,0.0582291666666667
"16",2014-07-22,7,2014,NA,2.86252,2.26207383248911,2.12647333333333,0.600446167510887,0.511252822330861,0.170730063371838,0.01175
"17",2014-07-23,7,2014,NA,1.94510222222222,2.2895735987776,1.50709055555556,-0.344471376555382,0.537059539125672,0.17674243626449,0.00025
"18",2014-08-01,8,2014,NA,1.05847,1.40816268057697,0.3113245,-0.349692680576967,0.375838815070512,0.185649721895948,0.015625
